NAME,Path,PHYCUV,BOAALB,BOALUN
INCT41_20210115_050000_9,../SPECS_STRETCHED/INCT41_20210115_050000\INCT41_20210115_050000_9.png,0,0,0
INCT41_20201220_053000_14,../SPECS_STRETCHED/INCT41_20201220_053000\INCT41_20201220_053000_14.png,0,0,0
INCT41_20201228_014500_8,../SPECS_STRETCHED/INCT41_20201228_014500\INCT41_20201228_014500_8.png,0,0,0
INCT41_20201228_004500_9,../SPECS_STRETCHED/INCT41_20201228_004500\INCT41_20201228_004500_9.png,0,0,0
INCT41_20201211_201500_18,../SPECS_STRETCHED/INCT41_20201211_201500\INCT41_20201211_201500_18.png,0,0,0
INCT41_20210113_023000_0,../SPECS_STRETCHED/INCT41_20210113_023000\INCT41_20210113_023000_0.png,0,0,0
INCT41_20200130_213000_20,../SPECS_STRETCHED/INCT41_20200130_213000\INCT41_20200130_213000_20.png,0,0,0
INCT41_20201106_021500_13,../SPECS_STRETCHED/INCT41_20201106_021500\INCT41_20201106_021500_13.png,0,0,0
INCT41_20201231_020000_18,../SPECS_STRETCHED/INCT41_20201231_020000\INCT41_20201231_020000_18.png,0,0,0
INCT41_20201031_010000_6,../SPECS_STRETCHED/INCT41_20201031_010000\INCT41_20201031_010000_6.png,0,0,0
INCT41_20200127_030000_21,../SPECS_STRETCHED/INCT41_20200127_030000\INCT41_20200127_030000_21.png,0,0,0
INCT41_20201105_211500_20,../SPECS_STRETCHED/INCT41_20201105_211500\INCT41_20201105_211500_20.png,0,0,0
INCT41_20201031_020000_19,../SPECS_STRETCHED/INCT41_20201031_020000\INCT41_20201031_020000_19.png,0,0,0
INCT41_20210112_183000_21,../SPECS_STRETCHED/INCT41_20210112_183000\INCT41_20210112_183000_21.png,0,0,0
INCT41_20201021_020000_5,../SPECS_STRETCHED/INCT41_20201021_020000\INCT41_20201021_020000_5.png,0,0,0
INCT41_20200216_230000_0,../SPECS_STRETCHED/INCT41_20200216_230000\INCT41_20200216_230000_0.png,0,0,0
INCT41_20210106_013000_9,../SPECS_STRETCHED/INCT41_20210106_013000\INCT41_20210106_013000_9.png,0,0,0
INCT41_20200213_231500_5,../SPECS_STRETCHED/INCT41_20200213_231500\INCT41_20200213_231500_5.png,0,0,0
INCT41_20201022_203000_2,../SPECS_STRETCHED/INCT41_20201022_203000\INCT41_20201022_203000_2.png,0,0,0
INCT41_20200218_223000_16,../SPECS_STRETCHED/INCT41_20200218_223000\INCT41_20200218_223000_16.png,0,0,0
INCT41_20210115_050000_6,../SPECS_STRETCHED/INCT41_20210115_050000\INCT41_20210115_050000_6.png,0,0,0
